"baker","baker_age","baker_occupation","series","episode","signature_bake","show_stopper","hometown","technical","result"
"Annetha",30,"Midwife",1,1,"Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream","Essex","2","IN"
"David",31,"Entrepreneur",1,1,"Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs","Milton Keynes","3","IN"
"Edd",24,"Debt collector for Yorkshire Bank",1,1,"Caramel Cinnamon and Banana Cake",NA,"Bradford","1","IN"
"Jasminder",45,"Assistant Credit Control Manager",1,1,"Fresh Mango and Passion Fruit Hummingbird Cake",NA,"Birmingham",NA,"IN"
"Jonathan",25,"Research Analyst",1,1,"Carrot Cake with Lime and Cream Cheese Icing","Three Tiered White and Dark Chocolate with Almond and Cherry","St Albans","9","IN"
"Lea",51,"Retired",1,1,"Cranberry and Pistachio Cakewith Orange Flower Water Icing","Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit","Midlothian, Scotland","10","OUT"
"Louise",44,"Police Officer",1,1,"Carrot and Orange Cake","Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border","Manchester",NA,"IN"
"Mark",48,"Bus Driver",1,1,"Sticky Marmalade Tea Loaf","Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.","South Wales",NA,"OUT"
"Miranda",37,"Food buyer for Marks & Spencer",1,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream","Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations","Midhurst, West Sussex","8","IN"
"Ruth",31,"Retail manager/Housewife",1,1,"Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd","Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles","Poynton, Cheshire",NA,"IN"
"Annetha",30,"Midwife",1,2,"Rose Petal Shortbread","Pink Swirl Macarons / Eclairs","Essex","7","OUT"
"David",31,"Entrepreneur",1,2,"Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles","Milton Keynes","8","IN"
"Edd",24,"Debt collector for Yorkshire Bank",1,2,"Oatmeal Raisin Cookie","Pink Macarons","Bradford","6","IN"
"Jasminder",45,"Assistant Credit Control Manager",1,2,"Millionaires' Shortbread","Meringues with Chocolate and Space DustCoffee flavoured Eclairs","Birmingham","2","IN"
"Jonathan",25,"Research Analyst",1,2,"Honey and Candied Ginger Cookies","Meringues with Whiskey Cream","St Albans","1","IN"
"Louise",44,"Police Officer",1,2,"Stained Glass Window Shortbread","Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons","Manchester","4","OUT"
"Miranda",37,"Food buyer for Marks & Spencer",1,2,"Fresh Vanilla Biscuits with Royal Icing","Pistachio Macarons","Midhurst, West Sussex","3","IN"
"Ruth",31,"Retail manager/Housewife",1,2,"Peanut Shortbread withSalted Peanut Caramel","Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs","Poynton, Cheshire","5","IN"
"David",31,"Entrepreneur",1,3,"Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun","Milton Keynes","4","IN"
"Edd",24,"Debt collector for Yorkshire Bank",1,3,"Olive Bread","Tomato and Mozzarella","Bradford","1","IN"
"Jasminder",45,"Assistant Credit Control Manager",1,3,"Focaccia","Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots","Birmingham","5","IN"
"Jonathan",25,"Research Analyst",1,3,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun","St Albans","6","OUT"
"Miranda",37,"Food buyer for Marks & Spencer",1,3,"Walnut and Apricot Bread","Lemon Iced Buns
Chocolate and Orange Buns","Midhurst, West Sussex","3","IN"
"Ruth",31,"Retail manager/Housewife",1,3,"Maple and Pecan Bread","Chocolate and Orange Panettone
Cranberry Bagels","Poynton, Cheshire","2","IN"
"David",31,"Entrepreneur",1,4,"Pear and Walnut Pudding","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear","Milton Keynes","5","OUT"
"Edd",24,"Debt collector for Yorkshire Bank",1,4,"Apple and Plum Pudding","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer","Bradford","3","IN"
"Jasminder",45,"Assistant Credit Control Manager",1,4,"Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce","Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble","Birmingham","2","IN"
"Miranda",37,"Food buyer for Marks & Spencer",1,4,"Sticky Toffee Pudding","Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble","Midhurst, West Sussex","1","IN"
"Ruth",31,"Retail manager/Housewife",1,4,"Peach and Blueberry Boy Bait","Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings","Poynton, Cheshire","4","IN"
"Edd",24,"Debt collector for Yorkshire Bank",1,5,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés","Bradford","2","IN"
"Jasminder",45,"Assistant Credit Control Manager",1,5,"Chicken and Mushroom Pie","Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés","Birmingham","4","OUT"
"Miranda",37,"Food buyer for Marks & Spencer",1,5,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés","Midhurst, West Sussex","1","IN"
"Ruth",31,"Retail manager/Housewife",1,5,"Minced Beef Pie","Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés","Poynton, Cheshire","3","IN"
"Edd",24,"Debt collector for Yorkshire Bank",1,6,"Cinnamon and Banana Cake",NA,"Bradford",NA,"WINNER"
"Miranda",37,"Food buyer for Marks & Spencer",1,6,"Lemon Cupcake","Eliminated after signature","Midhurst, West Sussex",NA,"Runner-up"
"Ruth",31,"Retail manager/Housewife",1,6,"Mint, Ginger and Blackberry Cake",NA,"Poynton, Cheshire",NA,"Runner-up"
"Ben",31,"Graphic Designer",2,1,"Rhubarb and Custard CupcakesAfter Dinner Cupcakes","Vanilla Sponge with White Chocolate and Raspberry Buttercream","Northampton","2","IN"
"Holly",31,"Advertising executive",2,1,"Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle","UNKNOWN","Leicester","1","STAR BAKER"
"Ian",40,"Fundraiser for English Heritage",2,1,"Apple and Cinnamon Cupcakes","UNKNOWN","Dunstable, Bedfordshire","10","IN"
"Janet",63,"Teacher of Modern Languages",2,1,"Raspberry and Cream Cupcakes","Chocolate Marble Cakewith Dark and White Chocolate Truffles","Formby, Liverpool","8","IN"
"Jason",19,"Civil Engineering Student",2,1,"Lemon Meringue CupcakesApple and Cinnamon Cupcakes","UNKNOWN","Croydon","6","IN"
"Joanne",NA,NA,2,1,"Chocolate Orange CupcakesOrange and Cardamom Cupcakes","Chocolate and Strawberry Cake",NA,"11","IN"
"Keith",31,"House husband",2,1,"Earl Grey Cupcakes","Chocolate and Sour Cream Cake","Arlesey, Bedfordshire","12","OUT"
"Mary-Anne",45,"Housewife",2,1,"Banoffee Cupcakes","Chocolate and Raspberry Opera cake","Kidderminster, Worcestershire","4","IN"
"Robert",25,"Photographer",2,1,"Blackberry and Vanilla Cupcakeswith Liquorice Frosting","Genoise Layered Mousse Cakewith Chocolate Ganache","London","3","IN"
"Simon",31,"Rugby Coach",2,1,"Guinness and Chocolate Cupcakes","Two-Tiered Chocolate Courgette Cake","Norfolk","9","IN"
"Urvashi",40,"Head of Marketing",2,1,"Cherry Blossom CupcakesJapanese Lime Cupcakes","UNKNOWN","Enfield, London","7","IN"
"Yasmin",43,"Childminder",2,1,"Cardamom and Pomegranate Cupcakes","UNKNOWN","West Kirby, The Wirral","5","IN"
"Ben",31,"Graphic Designer",2,2,"Chorizo, Pepper and Gruyere Quiche","Lemon Meringue Tarts","Northampton","1","IN"
